Gene|Glutathione S-transferase M1 and multidrug resistance protein 1
Gene|glucose transporter 4 and thyroid hormone receptor alpha
Gene|protein kinase B and extracellular signal-regulated kinase 1
Disease|autosomal recessive nonsyndromic postaxial polydactyly type A
Disease|hypocellular disorder of extreme global growth failure
Disease|weight-drop contusion injury to the spinal cord
Gene|heme oxygenase-1 and vascular endothelial growth factor-a
Disease|deficiency and hypogonadism in diabetes mellitus
Gene|Protein tyrosine phosphatase, nonreceptor type 2
Gene|receptor for advanced glycation end products
Gene|nuclear factor erythroid 2-related factor 2
Gene|angiotensin II type 1 (AT1) receptor
Gene|serine palmitoyltransferase long-chain base subunit 1
Chemical|2-methyl-2 H-pyrazole-3-carboxylic acid (2-methyl-4- o-tolylazo-phenyl)-amide
Disease|reduction of diastolic blood pressure
Disease|subnephrotoxic insult to the kidneys
Disease|cognitive impairment and/or electroencephalographic abnormalities
Disease|diarrhetic shellfish poisoning (DSP) syndrome
Disease|developmental hypothyroidism on photomotor behavior
Disease|breast ductal carcinoma in situ
Disease|adenocarinoma and spindle cell tumors
Gene|extracellular-regulated kinase 1/2 and Bad
Gene|hydroxymethylglutaryl CoA (HMG CoA) reductase
Gene|IL-1RI, and tumor necrosis factor-alpha
Gene|Microsomal prostaglandin E synthase 2
Gene|fat mass and obesity-associated protein
Gene|Peroxisome proliferator- activated receptor gamma
Gene|caspase-3 and poly (ADP-ribose) polymerase
Gene|tumor necrosis factor- (TNF-) alpha
Gene|RARalpha, beta, gamma and RXRalpha
Gene|multidrug resistance-associated protein isoform 2
Chemical|2-amino-1-methyl-6-phenylimidazo [4, 5-b] pyridine
Disease|acquired long QT syndrome
Disease|neurogenic axon reflex erythema
Disease|neurotoxicity of hallucinogenic amphetamines
Disease|initiation of endometrial cancer
Disease|endometrial and ovarian cancer
Disease|ovarian and endometrial cancer
Disease|bone lesions of fluorosis
Disease|cognition impairment and neurodegeneration
Disease|autosomal dominant Alzheimer's disease
Disease|elevated hepatic cholesterol synthesis
Disease|osteonecrosis of the femoral
Disease|damage of the lung
Disease|hepatic steatosis and hypertriglyceridemia
Disease|hypertriglyceridemia and hepatic steatosis
Disease|liver and kidney damage
Disease|neurotoxicity of HBCD diastereoisomers
Disease|glycolysis of hepatocellular carcinoma
Disease|migration of lung cancer
Gene|ephrin-B1, -B2, and -B4
Gene|vitamin D binding protein
Gene|platelet-activating factor (PAF) receptor
Disease|Parkinson's disease substantia nigra
Disease|middle cerebral artery occlusion
Disease|osteoporotic calvarial bone defect
Disease|Parkinsonism potentiate Mn toxicity
Disease|serous epithelial ovarian cancer
Disease|colon and breast cancers
Disease|autosomal dominant cerebellar degeneration
Disease|obese type 2 diabetic
Gene|tumor necrosis factor (TNF)-alpha
Disease|aggressiveness of breast cancer
Gene|vascular endothelial growth factor
Gene|transforming growth factor (TGF)-beta1
Gene|beta1- and beta2-adrenergic receptor
Gene|NADPH oxidase (NOX) 2
Chemical|caffeic acid phenethyl ester
Gene|nuclear factor kappa B
Gene|organic cation/carnitine transporter 1
Gene|p38 Mitogen-activated protein kinase
Gene|neural cell adhesion molecule
Gene|cysteinyl leukotriene receptor 1
Gene|tumor necrosis factor alpha
Gene|caspases 3 and 8
Gene|caspase 3/7 and 9
Gene|general transcription factor II-I
Gene|caspases 9 and 3
Disease|spinocerebellar ataxia type 6
Gene|CXC chemokine receptor 1
Gene|Bone morphogenetic protein 2
Gene|breast cancer resistance protein
Chemical|pyridoxal 5 phosphate
Chemical|excitatory amino acid
Chemical|polybrominated diphenyl ethers
Chemical|3, 5-diethoxycarbonyl-1, 4-dihydrocollidine
Chemical|2,4,6-trinitrobenzene sulfonic acid
Chemical|dextran sulfate sodium
Chemical|saturated fatty acid
Disease|QT interval prolongation
Disease|impaired renal function
Disease|neuronal structural damage
Disease|lipid metabolism disorder
Disease|Parkinson's disease-like disorder
Disease|neurotoxicity and neurodegeneration
Disease|poisoning of arsenic
Disease|addiction and schizophrenia
Disease|TNBS-induced acute colitis
Disease|SiHa cervical cancer
Disease|numerous cognitive abnormalities
Disease|nephrotoxic and nephroncarcinogenic
Disease|CH223191-Induced Mitochondrial Dysfunction
Disease|Endosulfan-Induced Dopaminergic Neurotoxicity
Disease|Alzheimer's or dementia
Disease|cytotoxic to cancer
Disease|hepatotoxic liver injury
Disease|nephrotoxic and nephrocarcinogenic
Disease|HBCD diastereoisomer neurotoxicity
Disease|leukemia and lymphoma
Disease|obvious hepatic steatosis
Disease|impaired bone regeneration
Disease|colitis and injury
Disease|Perimyocarditis and Fibrosis
Disease|newborn male hypospadias
Gene|Angiotensin (Ang) II
Gene|D(1) dopamine receptor
Disease|retinal pigment epithelial
Disease|articular cartilage loss
Disease|CF pancreatic adenocarcinoma
Disease|hereditary pancreatic cancer
Disease|pancreatitis and cancers
Disease|systemic iron deficiency
Disease|bilateral vestibular areflexia
Disease|Abnormal iron metabolism
Disease|colon carcinoma HT29
Disease|Colonic mucosal inflammation
Disease|leukemia Jurkat T
Disease|invasive breast cancer
Disease|Alzheimer's/schizophrenia-linked ADNP deficiency
Disease|serous ovarian cancer
Disease|deficient cardiovascular system
Disease|aggressive prostate cancers
Disease|colon and ovary
Disease|cortical cerebellar atrophy
Disease|convulsive status epilepticus
Disease|high arched palate
Disease|skeletal muscle necrosis
Disease|cardiac cell injury
Disease|renal cell carcinoma
Disease|systemic lupus erythematosus
Disease|autosomal recessive RP
Disease|pancreatic ductal adenocarcinoma
Disease|renal tubular necrosis
Gene|tumor necrosis factor-alpha
Disease|lung adenocarcinoma A549
Disease|necrotic cell death
Disease|diastolic blood pressure
Gene|glycogen synthase kinase-3beta
Disease|biliary tract cancer
Gene|BAX-associated X protein
Gene|tyrosinase-related protein (TRP)-1
Gene|activator protein (AP)-1
Gene|dynamin-related protein 1
Gene|brain-derived neurotrophic factor
Gene|monoamine oxidase A
Gene|monocyte chemoattractant protein-1
Gene|NFE2L2 and TNF
Gene|Ezrin, beta catenin
Gene|plasminogen activator inhibitor-1
Gene|poly ADP-ribose polymerase
Gene|dopamine D4 receptor
Disease|chronic heart failure
Gene|cytochrome P450 2C19
Gene|protein kinase R
Gene|carbonyl reductase 1
Gene|quinone oxidoreductase 2
Gene|Programmed death ligand-1
Gene|aryl hydrocarbon receptor
Gene|estrogen receptor alpha
Gene|activating transcription factor-6
Gene|X-box binding protein-1
Gene|extracellular signal-regulated kinase1/2
Disease|Sinusoidal obstruction syndrome
Gene|microsomal epoxide hydrolase
Gene|pregnane X receptor
Gene|Peptidyl-prolyl cis/trans-isomerase A1
Gene|melanoma-differentiation-associated gene 5
Disease|ventricular hypertrophy
Disease|ventricular myocardium
Chemical|Leukotriene B
Chemical|prostaglandin D
Chemical|uranyl nitrate
Chemical|Sunset yellow
Chemical|Cadmium telluride
Chemical|titanium dioxide
Chemical|Cr (VI)
Chemical|polychlorinated biphenyls
Disease|exercise tachycardia
Disease|interstitial fibrosis
Disease|cardiac hypertrophic
Disease|pulmonary hypertension
Disease|locomotor hyperactivity
Disease|ventricular fibrillation
Disease|growth retardation
Disease|hallucinogenic amphetamines
Disease|amphetamine's neurotoxicity
Disease|idiosyncratic hepatotoxicity
Disease|neuron damage
Disease|peritoneal endometriosis
Disease|Drug nephrotoxicity
Disease|hypoxia testis
Disease|cognitive declination
Disease|neurological disorder
Disease|neurological deficits
Disease|chromosomal aberrations
Disease|coordination dysfunction
Disease|non-alcoholic steatohepatitis
Disease|muscle inflammation
Disease|Mancozeb toxicity
Disease|arsenic toxicity
Disease|arsenic poisoning
Disease|glucose metabolism
Disease|neuron degeneration
Disease|brain injuries
Disease|cardiac dysfunctions
Disease|glucose malnutrition
Disease|behavioral disturbances
Disease|endosulfan neurotoxicity
Disease|algal toxicity
Disease|liver disease
Disease|liver diseases
Disease|Drug-Induced Hepatotoxicity
Disease|seizure behavior
Disease|Diastereoisomer-specific neurotoxicity
Disease|HBCD neurotoxicity
Disease|malignant ascites
Disease|neurotoxic microglia
Disease|bone lesions
Disease|impaired retention
Disease|hippocampal neurotoxicity
Disease|platelet aggregation
Disease|coagulative necrosis
Disease|bacterial infection
Disease|neuron dysfunction
Disease|Drosophila PD
Disease|viral infection
Chemical|lactic acid
Chemical|tanshinone I
Chemical|[-]-Huperzine A
Chemical|okadaic acid
Chemical|nicotinic acid
Chemical|Hoechst 33258
Chemical|atropine sulfate
Gene|glutamine synthetase
Disease|rheumatoid synovial
Disease|depressive disorder
Disease|cancer metastasis
Disease|cerebral ischemia
Disease|cerebellar ataxia
Disease|testicular damage
